ID,Source,Issue Title,Category,Pattern,Description,Issue URL,PR URL,Data Available,Remark 2
0,,"AWS Inspector report High CWE-117,93 - Log injection lambda python code",IL,IL-At,"Describe the outcome you'd like
There is lots of High findings in AWS inspector for aft*.py for logger.info.
1.13.0 AFT

A clear and concise description of what you want to happen.

From inspector Suggested remediaton
Why are we recommending the following fix?

You have a log statement that might use unsanitized input. Depending on the context, this could result in:

A log injection attack that breaks log integrity, forges log entries, or bypasses monitors that use the logs. To increase the security of your code, sanitize your inputs before logging them. [Learn more ](https://cwe.mitre.org/data/definitions/117.html)",https://github.com/aws-ia/terraform-aws-control_tower_account_factory/issues/488?utm_source=chatgpt.com,https://github.com/aws-ia/terraform-aws-control_tower_account_factory/issues/488?utm_source=chatgpt.com,,
2,,Add default message escaping for Log4J2 configuration to help prevent log injection attacks,IL,IL-At,"to prevent log injections of CRLF or HTML code (which could be exploited if the logs are displayed in an HTML page), we should change the default log4j2 pattern in Karaf from:

log4j2.pattern = %d{ISO8601} | %-5p | %-16t | %-32c{1} | %X{bundle.id} - %X{bundle.name} - %X{bundle.version} | %m%n

to something like this:

log4j2.pattern = %d{ISO8601} | %-5p | %-16t | %-32c{1} | %X{bundle.id} - %X{bundle.name} - %X{bundle.version} | %encode{%.-500m}%n

See :

This would limit the message to 500 characters to prevent sending huge messages and will turn on the default HTML escaping which escapes for CRLF and any HTML tags such as <script>",https://issues.apache.org/jira/browse/KARAF-7061#:~:text=Created%3A%2005%2FMar%2F21%2010%3A18,https://github.com/apache/karaf/pull/1318/commits/bac366abbc27e9961476d303e54fa17820fee765,,
3,,Password configs are logged in plaintext in KRaft,SS,SS-Ur,"I also noticed that ConfigurationControlManager is logging sensitive configs in plaintext at INFO level.

[2022-07-27 12:14:09,927] INFO [Controller 1] ConfigResource(type=BROKER, name='1'): set configuration listener.name.external.ssl.key.password to bar (org.apache.kafka.controller.ConfigurationControlManager)

Once this new config reaches the broker, it is logged again, but this time it is redacted

[2022-07-27 12:14:09,957] INFO [BrokerMetadataPublisher id=1] Updating broker 1 with new configuration : listener.name.external.ssl.key.password -> [hidden] (kafka.server.metadata.BrokerMetadataPublisher)
",https://issues.apache.org/jira/browse/KAFKA-14115#:~:text=Created%3A%2027%2FJul%2F22%2016%3A16,https://github.com/apache/kafka/pull/12481,,
4,,Hadoop prints sensitive Cookie information.,SS,SS-Ur,"

org.apache.hadoop.security.authentication.client.AuthenticatedURL.AuthCookieHandler#setAuthCookie - prints cookie information in log. Any sensitive infomation in Cookies will be logged, which needs to be avaided.

LOG.trace(""Setting token value to {} ({})"", authCookie, oldCookie);","https://issues.apache.org/jira/browse/HADOOP-17510#:~:text=org.apache.hadoop.security.authentication.client.AuthenticatedURL.AuthCookieHand%20ler%23setAuthCookie%20,which%20needs%20to%20be%20avaided",https://github.com/apache/hadoop/pull/2673,,
5,,Redact sensitive information in Spark Thrift Server log,RM,RM-Ms,"

Spark Thrift Server logs query without sensitive information redaction in org.apache.spark.sql.hive.thriftserver.SparkExecuteStatementOperation.scala

  override def runInternal(): Unit = {
    setState(OperationState.PENDING)
    logInfo(s""Submitting query '$statement' with $statementId"")

Logs

21/08/03 20:49:46 INFO SparkExecuteStatementOperation: Submitting query 'CREATE OR REPLACE TEMPORARY VIEW test_view
    USING org.apache.spark.sql.jdbc
    OPTIONS (
        url=""jdbc:mysql://example.com:3306"",
        driver=""com.mysql.jdbc.Driver"",
        dbtable=""example.test"",
        user=""my_username"",
        password=""my_password""
    )' with 37e5d2cb-aa96-407e-b589-7cb212324100
21/08/03 20:49:46 INFO SparkExecuteStatementOperation: Running query with 37e5d2cb-aa96-407e-b589-7cb212324100
",https://issues.apache.org/jira/browse/SPARK-36398#:~:text=Created%3A%2003%2FAug%2F21%2022%3A04,https://github.com/apache/spark/pull/33743/commits/a7218c7abe1b1f6db0259de024f717a21693a122+https://github.com/apache/spark/pull/33832/commits/4a86a75704dfedc3541c89344af6b4b2a43e16e6,,
6,,HiveClientImpl may be log sensitive information,RM,RM-Ms,"HiveClientImpl may be log sensitive information. e.g. url, secret and token:

      logDebug(
        s""""""
           |Applying Hadoop/Hive/Spark and extra properties to Hive Conf:
           |$k=${if (k.toLowerCase(Locale.ROOT).contains(""password"")) ""xxx"" else v}
         """""".stripMargin)
",https://issues.apache.org/jira/browse/SPARK-29247?page=com.atlassian.jira.plugin.system.issuetabpanels%3Aall-tabpanel,https://github.com/apache/spark/pull/25954/commits/6aa0819fecae338063814945ea86df94b76513d8+https://github.com/apache/spark/pull/25954/commits/8ac5e73ec9d5ffa3707520b40d2cd66d71f37547+https://github.com/apache/spark/pull/25954/commits/b056622068a300c44340fd02b3773fda81a52f73,,
7,,Hide sensitive command-line configurations,RM,RM-Ms,"When jobmanager starts up, it logs configurations from jvm options and application arguments. This includes secrets (eg. ""s3.secret-key"").
Ideally, secrets should be masked as it is when loading from configuration file.",https://issues.apache.org/jira/browse/FLINK-19523#:~:text=Created%3A%2007%2FOct%2F20%2020%3A29,https://github.com/apache/flink/pull/13609/commits/c8c5eee65fdcb15353189eb29cad3ec5bd767c29,,
8,,Table API exceptions may leak sensitive configuration values,SS,SS-Ur,"

This following is error message. Password is 'bar' and is displayed.

Could we hidden it to password='******' or password='<hidden>' inspired by Apache Kafka source code.

Missing required options are:

hosts 

Unable to create a sink for writing table 'default_catalog.default_database.dws'.

Table options are:

'connector'='elasticsearch7-x'
'index'='foo'
'password'='bar'
	at org.apache.flink.table.factories.FactoryUtil.createTableSink(FactoryUtil.java:208)
	at org.apache.flink.table.planner.delegation.PlannerBase.getTableSink(PlannerBase.scala:369)
	at org.apache.flink.table.planner.delegation.PlannerBase.translateToRel(PlannerBase.scala:221)
	at org.apache.flink.table.planner.delegation.PlannerBase.$anonfun$translate$1(PlannerBase.scala:159
",https://issues.apache.org/jira/browse/FLINK-24381?page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel&focusedCommentId=17433696,https://github.com/apache/flink/pull/17555/commits/cd2d4721466fb277298c3842bb27e29244b44437+https://github.com/apache/flink/pull/17555/commits/907d080f302fcd5851afb178e981a122de09bbb5+https://github.com/apache/flink/pull/17555/commits/08ace1b29f43e1b260e04a4d76bc1dbf270ad402,,
9,,getTGT() in Login.java mishandles confidential information,SS,SS-Cr,"

We're logging the kerberos ticket when in debug mode, probably not the best idea. This was identified as a ""critical"" issue by Fortify.

        for(KerberosTicket ticket: tickets) {
            KerberosPrincipal server = ticket.getServer();
            if (server.getName().equals(""krbtgt/"" + server.getRealm() + ""@"" + server.getRealm())) {
                LOG.debug(""Found tgt "" + ticket + ""."");
                return ticket;
            }
        }
",https://issues.apache.org/jira/browse/ZOOKEEPER-2405,https://issues.apache.org/jira/browse/ZOOKEEPER-2405,,
10,,mod_dav_svn displays real path to repository when empty,EE,EE-Ex,"When accessing an empty repository (not initialized), mod_dav_svn
displays the real path to the repository in the message:


Expected version '1' of repository; found no version at all; is
`c:/svn/repository' a valid repository path?

I would consider this a potential security risk...",https://issues.apache.org/jira/browse/SVN-1051,https://issues.apache.org/jira/secure/attachment/12762766/1_r7930.patch,,
11,,KafkaSource not working,IL,IL-Lv,"

I tried running the KafkaConsumerExample with that is subscribing to a console producer of kafka but the KafkaConsumerExample topology was not receiving any data from Kafka. Then I wrote my own topology that uses Kafka as a source but it didn't work as well. The topologies would run but receive not data. If I run a console consumer that subscibes to the topic of the console producer, the console consumer receives data from the producer which indicates the producer is working correctly. Can someone help me with this problem?

Kafka console producer I am running:

bin/kafka-console-producer.sh --broker-list localhost:9092 --topic test

The flink code I am running:

public class KafkaDataProcessor {
	private static int port;
	private static String hostname;
	private static String topic;
	private static final Logger LOG = LoggerFactory.getLogger(KafkaDataProcessor.class);

	public static void main(String[] args) {
		if (!parseParameters(args)) {
			return;
		}
		System.out.println(""Start listening for data on: "" + hostname + "":"" + port + "" for topic: "" + topic);
		StreamExecutionEnvironment env = StreamExecutionEnvironment.getExecutionEnvironment();


		DataStream<Tuple2<String, Integer>> dataStream = env
						.addSource(new KafkaSource(hostname + "":"" + port, topic, ""test-consumer-group"", new SimpleStringSchema(), 200L), ""Kafka source"").setParallelism(2)
										.flatMap(new Splitter()).setParallelism(2)
										.groupBy(0)
										.sum(1).setParallelism(2);


		dataStream.print().setParallelism(2);



		try {
			env.execute(""kafka processor"");
		} catch (Exception e) {
			e.printStackTrace();
		}

	}

	public static class Splitter implements FlatMapFunction<String, Tuple2<String, Integer>> {
		@Override
		public void flatMap(String sentence, Collector<Tuple2<String, Integer>> out) throws Exception {
			for (String word : sentence.split("" "")) {
				System.out.println(""word: "" + word);
				LOG.info(""word: {}"", word);
				out.collect(new Tuple2<String, Integer>(word, 1));
			}
		}
	}

	private static boolean parseParameters(String[] args) {

		if (args.length > 0) {
			if (args.length == 3) {
				hostname = args[0];
				port = Integer.parseInt(args[1]);
				topic = args[2];
			} else {
				System.err.println(""Usage: KafkaDataProcessor <hostname> <Port> <topic>"");
				return false;
			}
		} else {
			System.out.println(""Executing KafkaDataProcessor example with built-in default data."");
			System.out.println(""  Provide Hostname and Port to read input data from."");
			System.out.println(""  Usage: KafkaDataProcessor <Hostname> <Port> <topic>"");
			return false;
		}
		return true;
	}
}
",https://issues.apache.org/jira/browse/FLINK-2585,https://issues.apache.org/jira/browse/FLINK-2585,,
12,,getTGT() debug logging exposes confidential information,SS,SS-Cr,getTGT() debug logging exposes confidential information,https://issues.apache.org/jira/browse/KAFKA-3830,https://github.com/apache/kafka/pull/1498/commits/aac856f5a3a64123f798788b31707521e9157519,,
13,,[Broker-J] Do not expose private information to exception message,EE,EE-Ex,"

    Obfuscate password value if IllegalArgumentException is thrown in ConfiguredAutomatedAttribute.convert()
    Do not add base64String to IllegalArgumentException message in Strings.java as it can contain private information
",https://issues.apache.org/jira/browse/QPID-8460,https://github.com/apache/qpid-broker-j/pull/55/commits/772a9b6fabb2b17969ab2922e3bd2bceb74730bf+https://github.com/apache/qpid-broker-j/pull/55/commits/8c1e2e3eea45c817c823614a2dddeccbe43b5640,,
